2022-09-07 16:14:57.161 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logbackDemoApplication': Initialization of bean failed; nested exception is java.lang.IllegalStateException: Encountered invalid @Scheduled method 'log': For input string: "" '/2' in cron expression "/2 * * * * ?"
2022-09-07 16:27:57.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:27:58.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:27:59.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:00.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:01.011 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:02.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:03.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:04.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:05.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:06.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:07.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:08.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:09.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:10.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:11.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:12.000 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:13.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:14.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:15.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:16.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:17.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:18.014 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:28:19.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
